,new_deaths
2020-10-08,986.0
2020-10-09,893.0
2020-10-10,665.0
2020-10-11,466.0
2020-10-12,287.0
2020-10-13,690.0
2020-10-14,811.0
2020-10-15,951.0
2020-10-16,877.0
2020-10-17,780.0
2020-10-18,393.0
2020-10-19,456.0
2020-10-20,832.0
2020-10-21,994.0
