,date,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,death,hospitalized,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
2020-05-27,20200527.0,156628.0,503697.0,591.0,0.0,16597.0,0.0,0.0,0.0,0.0,25552.0,11339.0,16597.0,0.0,0.0,0.0,156628.0,11339.0,0.0,34.0,0.0,0.0,660325.0,660325.0,24433.0,660325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-28,20200528.0,157815.0,528042.0,591.0,0.0,16778.0,0.0,0.0,0.0,0.0,25804.0,11401.0,16778.0,0.0,0.0,0.0,157815.0,11401.0,0.0,34.0,0.0,0.0,685857.0,685857.0,25532.0,685857.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-29,20200529.0,158844.0,557567.0,591.0,0.0,16960.0,0.0,0.0,0.0,0.0,26084.0,11531.0,16960.0,0.0,0.0,0.0,158844.0,11531.0,0.0,34.0,0.0,0.0,716411.0,716411.0,30554.0,716411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-30,20200530.0,159608.0,585700.0,591.0,0.0,17121.0,0.0,0.0,0.0,0.0,26301.0,11634.0,17121.0,0.0,0.0,0.0,159608.0,11634.0,0.0,34.0,0.0,0.0,745308.0,745308.0,28897.0,745308.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-31,20200531.0,160445.0,585700.0,591.0,0.0,17197.0,0.0,0.0,0.0,0.0,26560.0,11698.0,17197.0,0.0,0.0,0.0,160445.0,11698.0,0.0,34.0,0.0,0.0,746145.0,746145.0,837.0,746145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-01,20200601.0,160918.0,634682.0,591.0,0.0,17222.0,0.0,0.0,0.0,0.0,26703.0,11721.0,17222.0,0.0,0.0,0.0,160918.0,11721.0,0.0,34.0,0.0,0.0,795600.0,795600.0,49455.0,795600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-02,20200602.0,161545.0,656132.0,591.0,0.0,17390.0,0.0,0.0,0.0,0.0,26815.0,11770.0,17390.0,0.0,0.0,0.0,161545.0,11770.0,0.0,34.0,0.0,0.0,817677.0,817677.0,22077.0,817677.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-03,20200603.0,162068.0,675352.0,591.0,0.0,17390.0,0.0,0.0,0.0,0.0,27008.0,11880.0,17390.0,0.0,0.0,0.0,162068.0,11880.0,0.0,34.0,0.0,0.0,837420.0,837420.0,19743.0,837420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-04,20200604.0,162530.0,695199.0,591.0,0.0,17604.0,0.0,0.0,0.0,0.0,27231.0,11970.0,17604.0,0.0,0.0,0.0,162530.0,11970.0,0.0,34.0,0.0,0.0,857729.0,857729.0,20309.0,857729.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-05,20200605.0,163336.0,755555.0,591.0,0.0,17880.0,0.0,0.0,0.0,0.0,27433.0,12049.0,17880.0,0.0,0.0,0.0,163336.0,12049.0,0.0,34.0,0.0,0.0,918891.0,918891.0,61162.0,918891.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-06,20200606.0,163893.0,779123.0,591.0,0.0,18023.0,0.0,0.0,0.0,0.0,27641.0,12106.0,18023.0,0.0,0.0,0.0,163893.0,12106.0,0.0,34.0,0.0,0.0,943016.0,943016.0,24125.0,943016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-07,20200607.0,164164.0,796261.0,591.0,0.0,18050.0,0.0,0.0,0.0,0.0,27824.0,12176.0,18050.0,0.0,0.0,0.0,164164.0,12176.0,0.0,34.0,0.0,0.0,960425.0,960425.0,17409.0,960425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-08,20200608.0,164497.0,810592.0,591.0,0.0,18050.0,0.0,0.0,0.0,0.0,27941.0,12214.0,18050.0,0.0,0.0,0.0,164497.0,12214.0,0.0,34.0,0.0,0.0,975089.0,975089.0,14664.0,975089.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-09,20200609.0,164796.0,824701.0,591.0,0.0,18069.0,0.0,0.0,0.0,0.0,28036.0,12303.0,18069.0,0.0,0.0,0.0,164796.0,12303.0,0.0,34.0,0.0,0.0,989497.0,989497.0,14408.0,989497.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-10,20200610.0,165346.0,843588.0,591.0,0.0,18223.0,0.0,0.0,0.0,0.0,28207.0,12377.0,18223.0,0.0,0.0,0.0,165346.0,12377.0,0.0,34.0,0.0,0.0,1008934.0,1008934.0,19437.0,1008934.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-11,20200611.0,165816.0,864977.0,591.0,0.0,18492.0,0.0,0.0,0.0,0.0,28376.0,12443.0,18492.0,0.0,0.0,0.0,165816.0,12443.0,0.0,34.0,0.0,0.0,1030793.0,1030793.0,21859.0,1030793.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-12,20200612.0,166164.0,889232.0,591.0,0.0,18607.0,0.0,0.0,0.0,0.0,28509.0,12489.0,18607.0,0.0,0.0,0.0,166164.0,12489.0,0.0,34.0,0.0,0.0,1055396.0,1055396.0,24603.0,1055396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-13,20200613.0,166605.0,911610.0,591.0,0.0,18707.0,0.0,0.0,0.0,0.0,28606.0,12589.0,18707.0,0.0,0.0,0.0,166605.0,12589.0,0.0,34.0,0.0,0.0,1078215.0,1078215.0,22819.0,1078215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
